,Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average)
Entity,Africa,Asia,Europe,North America,Oceania,South America
Year,,,,,,
1993,6.889667,6.115928,13.218422,11.033334,5.9500003,8.641666
1994,7.7417083,6.522834,14.497369,12.426666,6.433334,8.733334
1995,7.9759793,6.7394996,14.592105,12.24,6.433334,9.45
1996,8.116387,6.8633094,15.344738,11.92,8.883333,10.2
1997,8.204286,7.605334,14.83077,12.759999,9.166667,10.891666
1998,8.6162405,7.7886667,15.720512,13.833333,9.816667,12.558333
1999,9.368958,8.326586,16.488974,13.490001,10.993333,12.598332
2000,9.625306,9.262,17.359488,13.259999,13.507501,12.839166
2001,10.0112,9.6215,18.153076,13.654667,10.338334,14.1575
2002,11.211764,10.1685,19.182564,15.016666,10.506667,14.885834
2003,12.042449,10.413333,19.568718,16.092667,10.506667,15.410832
2004,12.705283,10.208139,21.142307,17.834286,10.941667,16.063334
2005,14.198269,11.258864,21.151794,19.117857,13.742,17.272501
2006,14.472307,11.395653,21.641499,18.708668,12.334,19.405832
2007,15.14868,13.264445,22.508501,19.873333,12.9,19.887499
2008,15.4101925,13.532223,22.88625,20.189333,13.009999,20.080833
2009,15.992801,14.515652,23.873,19.938,13.142,20.879168
2010,17.103462,14.951522,23.68975,20.17,12.61,20.289999
2011,18.114809,14.625532,24.391,21.776667,12.334,19.4675
2012,19.231922,15.006739,25.31175,22.905333,12.32,19.4675
2013,20.715576,15.773778,25.609512,24.351332,12.186,20.0775
2014,20.868704,15.980213,26.390732,24.796,12.554,24.6775
2015,21.148333,16.16681,26.649513,25.595333,13.128333,25.496666
2016,21.448908,16.735106,27.845001,26.496,13.923332,26.665833
2017,21.38109,17.087023,28.191952,26.799334,14.166667,26.924166
2018,21.574726,17.732553,28.841707,28.612,15.275001,27.663332
2019,21.611668,18.987446,30.315609,29.230001,16.166666,28.480833
2020,22.799814,19.439573,31.133413,30.262667,18.171667,28.633333
2021,23.28679,19.248444,31.91317,30.473999,18.311666,30.413635
2022,24.116346,20.078667,32.522198,31.522,18.185,31.956667
2023,24.8875,19.701778,32.483414,33.819286,17.911667,33.50333
